総資産(￥),取引日,決済日,平均コスト,リミット,ストップ,許容リスク(資産),ポジションサイズ,結果,基軸通貨,基軸通貨の対円レート,決済通貨,決済通貨の対円レート,勝率から見た期待値,レバレッジ(欲望計),Risk/Reward Ratio
"¥1,000,000",2018/09/18,2018/09/27,112.037,113.224,111.407,1.00%,"15,873.016",1,USD,109.067,JPY,,12652.381,1.731,1.884
"¥1,018,841",2018/09/28,2018/10/08,113.66,115.234,113.175,1.00%,"21,007.036",0,USD,109.067,JPY,,17051.412,2.249,3.245
"¥1,008,653",2018/10/16,2018/10/28,112.207,114.338,111.528,1.00%,"14,854.976",0,USD,109.067,JPY,,16557.356,1.606,3.138
"¥998,566",2018/10/30,2018/11/20,113.103,114.362,112.303,1.00%,"12,482.079",0,USD,109.067,JPY,,11704.446,1.363,1.574
"¥988,581",2018/12/06,2018/12/10,112.667,111.432,113.248,1.00%,"17,015.158",0,USD,109.067,JPY,,13224.181,1.877,2.126
"¥978,695",2018/12/19,2018/12/20,112.473,110.875,113.66,1.00%,"8,245.113",1,USD,109.067,JPY,,10803.571,0.919,1.346
"¥991,871",2018/12/20,2018/12/24,111.286,112.81,110.83,1.00%,"21,751.547",0,USD,109.067,JPY,,16887.901,2.392,3.342
"¥981,952",2018/12/31,2019/01/03,109.663,108.143,110.412,1.00%,"13,110.171",1,USD,109.067,JPY,,12851.901,1.456,2.029
"¥1,001,879",2019/01/03,2019/01/04,108.529,110.253,107.802,1.00%,"13,781.008",0,USD,109.067,JPY,,14140.693,1.500,2.371
"¥991,861",2019/01/23,2019/01/30,109.61,111.249,109.157,1.00%,"21,895.376",0,USD,109.067,JPY,,17708.980,2.408,3.618
"¥981,942",2019/01/30,2019/01/31,109.049,110.261,108.519,1.00%,"18,527.206",0,USD,109.067,JPY,,13610.085,2.058,2.287
"¥972,122",2019/02/25,2019/02/28,111.023,111.754,110.619,1.00%,"24,062.438",0,USD,109.067,JPY,,12081.750,2.700,1.809
"¥962,401",2019/02/28,2019/03/01,111.398,111.06,111.524,1.00%,"76,381.053",0,USD,109.067,JPY,,14481.848,8.656,2.683
"¥952,777",2019/03/05,2019/03/06,111.862,113.068,111.168,1.00%,"13,728.779",0,USD,109.067,JPY,,11636.513,1.572,1.738
"¥943,249",2019/03/06,2019/03/20,109.978,111.333,109.614,1.00%,"25,913.447",1,USD,109.067,JPY,,17136.563,2.996,3.723
"¥978,362",2019/04/04,2019/04/05,111.647,112.209,111.283,1.00%,"26,878.082",0,USD,109.067,JPY,,11380.180,2.996,1.544
"¥968,579",2019/04/11,2019/04/23,111.441,112.286,110.822,1.00%,"15,647.473",1,USD,109.067,JPY,,10746.684,1.762,1.365
"¥981,801",2019/04/24,2019/04/30,112.151,113.168,111.606,1.00%,"18,014.692",0,USD,109.067,JPY,,12368.887,2.001,1.866
"¥971,983",2019/04/30,2019/05/06,111.424,110.861,111.769,1.00%,"28,173.411",1,USD,109.067,JPY,,11562.368,3.161,1.632
"¥987,844",2019/05/10,2019/05/12,109.939,111.769,109.116,1.00%,"12,002.969",0,USD,109.067,JPY,,13504.540,1.325,2.224
"¥977,966",2019/05/13,2019/05/16,109.311,108.662,109.843,1.00%,"18,382.817",0,USD,109.067,JPY,,10424.896,2.050,1.220
"¥968,186",2019/05/21,2019/05/30,110.466,111.715,109.589,1.00%,"11,039.752",0,USD,109.067,JPY,,10913.898,1.244,1.424
"¥958,504",2019/05/31,2019/06/07,108.276,107.772,108.626,1.00%,"27,385.839",0,USD,109.067,JPY,,10850.269,3.116,1.440
"¥948,919",2019/07/12,2019/07/13,107.894,108.438,107.681,1.00%,"44,550.202",0,USD,109.067,JPY,,13913.028,5.121,2.554
"¥939,430",2019/08/05,2019/08/06,105.966,104.733,106.751,1.00%,"11,967.263",0,USD,109.067,JPY,,11002.701,1.389,1.571
"¥930,036",2019/08/08,2019/08/20,106.029,104.754,106.73,1.00%,"13,267.273",0,USD,109.067,JPY,,11584.982,1.556,1.819
"¥920,735",2019/08/21,2019/08/22,106.225,109.042,105.048,1.00%,"7,822.731",0,USD,109.067,JPY,,13056.138,0.927,2.393
"¥911,528",2019/08/29,2019/10/28,106.498,109.063,105.553,1.00%,"9,645.800",1,USD,109.067,JPY,,13803.140,1.154,2.714
"¥936,270",2019/10/31,2019/11/05,108.031,108.98,107.275,1.00%,"12,384.518",1,USD,109.067,JPY,,10079.759,1.443,1.255
"¥948,022",2019/11/05,2019/12/11,109.148,110.58,108.467,1.00%,"13,921.035",0,USD,109.067,JPY,,12616.634,1.602,2.103
"¥938,542",2019/12/12,2020/01/02,109.279,110.474,108.469,1.00%,"11,586.941",0,USD,109.067,JPY,,10723.714,1.347,1.475
"¥929,157",2020/01/13,2020/01/23,109.944,110.806,109.252,1.00%,"13,427.122",0,USD,109.067,JPY,,9976.352,1.576,1.246
"¥919,865",2020/02/28,2020/02/29,107.948,105.193,108.392,1.00%,"20,717.686",0,USD,109.067,JPY,,23562.225,2.456,6.205
"¥910,667",2020/03/03,2020/03/26,107.079,105.193,108,1.00%,"9,887.803",1,USD,109.067,JPY,,11969.185,1.184,2.048
"¥929,315",2020/03/27,2020/04/28,108.196,110.888,106.561,1.00%,"5,683.884",0,USD,109.067,JPY,,11095.510,0.667,1.646
"¥920,022",2020/06/02,2020/07/09,108.634,110.135,107.776,1.00%,"10,722.866",0,USD,109.067,JPY,,11268.659,1.271,1.749
"¥910,822",2020/07/10,2020/07/11,106.936,106.002,107.801,1.00%,"10,529.730",1,USD,109.067,JPY,,9326.182,1.261,1.080
"¥920,656",2018/09/13,2018/09/27,130.834,133.298,130.38,1.00%,"20,278.776",0,EUR,109.067,JPY,,21434.666,2.402,5.427
"¥911,450",2018/10/11,2018/10/08,129.992,135.6,128.013,1.00%,"4,605.608",0,EUR,109.067,JPY,,14128.624,0.551,2.834
"¥902,335",2018/11/06,2018/11/07,129.571,132.942,127.592,1.00%,"4,559.552",0,EUR,109.067,JPY,,10927.422,0.551,1.703
"¥893,312",2018/12/21,2019/01/08,126.424,125.354,127.43,1.00%,"8,879.841",1,EUR,109.067,JPY,,9103.613,1.084,1.064
"¥902,813",2019/01/09,2019/02/27,124.801,123.542,125.575,1.00%,"11,664.256",0,EUR,109.067,JPY,,10725.284,1.409,1.627
"¥893,785",2019/02/28,2019/03/01,126.631,128.989,125.383,1.00%,"7,161.741",0,EUR,109.067,JPY,,11322.713,0.874,1.889
"¥884,847",2019/04/12,2019/04/18,126.496,127.876,125.652,1.00%,"10,483.974",0,EUR,109.067,JPY,,10534.297,1.292,1.635
"¥875,999",2019/05/09,2019/05/23,123.064,125.266,122.373,1.00%,"12,677.264",0,EUR,109.067,JPY,,14506.594,1.578,3.187
"¥867,239",2019/07/02,2019/07/03,121.782,123.84,121.063,1.00%,"12,061.738",0,EUR,109.067,JPY,,13517.590,1.517,2.862
"¥858,567",2019/07/18,2019/07/23,121.044,122.655,120.5,1.00%,"15,782.474",0,EUR,109.067,JPY,,13637.636,2.005,2.961
"¥849,981",2019/07/25,2019/08/22,120.287,122.053,119.956,1.00%,"25,679.182",0,EUR,109.067,JPY,,19554.697,3.295,5.335
"¥841,481",2019/08/23,2019/08/23,117.427,115.158,119.355,1.00%,"4,364.529",0,EUR,109.067,JPY,,8861.302,0.566,1.177
"¥833,066",2019/10/15,2019/10/16,120.071,121.962,118.281,1.00%,"4,654.002",1,EUR,109.067,JPY,,8471.679,0.609,1.056
"¥841,867",2020/01/09,2020/01/27,121.604,123.457,120.16,1.00%,"5,830.104",0,EUR,109.067,JPY,,9134.024,0.755,1.283
"¥833,448",2016/01/04,2016/01/07,0.9905,0.95403,0.9998,1.00%,"7,719.044",0,USD,105.8,CHF,116.100,15639.255,0.980,3.922
"¥825,114",2016/04/01,2016/04/02,0.95593,0.96618,0.94759,1.00%,"8,521.491",1,USD,105.8,CHF,116.100,8818.033,1.093,1.229
"¥835,255",2016/05/18,2016/05/19,0.98034,1.01213,0.96529,1.00%,"4,780.245",0,USD,105.8,CHF,116.100,11139.689,0.606,2.112
"¥826,902",2016/07/27,2016/05/29,0.99431,1.02693,0.97924,1.00%,"4,726.162",0,USD,105.8,CHF,116.100,11157.966,0.605,2.165
"¥818,633",2016/10/25,2016/10/26,0.9987,1.02857,0.98171,1.00%,"4,150.149",0,USD,105.8,CHF,116.100,10048.131,0.536,1.758
"¥810,447",2016/11/15,2016/12/15,1.00142,1.02857,0.98619,1.00%,"4,583.449",1,USD,105.8,CHF,116.100,10007.394,0.598,1.783
"¥824,894",2016/12/30,2016/12/31,1.01924,0.9962,1.03206,1.00%,"5,542.147",0,USD,105.8,CHF,116.100,10221.740,0.711,1.797
"¥816,645",2017/01/05,2017/01/24,1.02056,0.9962,1.038,1.00%,"4,033.247",1,USD,105.8,CHF,116.100,9138.561,0.523,1.397
"¥828,052",2017/02/15,2017/03/27,1.00906,0.98699,1.02107,1.00%,"5,938.578",1,USD,105.8,CHF,116.100,10361.339,0.759,1.838
"¥843,269",2017/06/02,2017/07/19,0.96241,0.98225,0.9518,1.00%,"6,845.709",0,USD,105.8,CHF,116.100,10633.452,0.859,1.870
"¥834,836",2017/07/26,2017/08/04,0.95375,0.97303,0.94314,1.00%,"6,777.251",1,USD,105.8,CHF,116.100,10394.929,0.859,1.817
"¥850,006",2017/08/17,2017/08/29,0.96598,1.01293,0.94216,1.00%,"3,073.606",0,USD,105.8,CHF,116.100,10976.215,0.383,1.971
"¥841,506",2018/01/25,2018/01/26,0.94445,0.97524,0.931,1.00%,"5,388.934",0,USD,105.8,CHF,116.100,11669.721,0.678,2.289
"¥833,091",2018/05/04,2018/08/27,0.99915,0.97926,1.00809,1.00%,"8,026.437",1,USD,105.8,CHF,116.100,11392.103,1.019,2.225
"¥851,626",2018/08/30,2018/09/28,0.96908,0.9459,0.97967,1.00%,"6,926.611",0,USD,105.8,CHF,116.100,11553.647,0.861,2.189
"¥843,110",2019/02/11,2019/02/12,1.00885,0.97137,1.01429,1.00%,"13,349.132",0,USD,105.8,CHF,116.100,23328.105,1.675,6.890
"¥834,679",2019/12/13,2019/12/14,0.98367,1.01629,0.97824,1.00%,"13,239.979",0,USD,105.8,CHF,116.100,20885.414,1.678,6.007
"¥826,332",2015/02/23,2015/07/24,1.25926,1.14907,1.30713,1.00%,"2,141.953",0,USD,105.8,CAD,80.590,11490.623,0.274,2.302
"¥818,069",2015/09/18,2015/12/17,1.30651,1.38975,1.28098,1.00%,"3,976.104",1,USD,105.8,CAD,80.590,13728.364,0.514,3.260
"¥844,742",2015/12/24,2016/01/11,1.38952,1.29125,1.4199,1.00%,"3,450.285",0,USD,105.8,CAD,80.590,14110.632,0.432,3.235
"¥836,294",2016/01/20,2016/02/29,1.47175,1.35194,1.50472,1.00%,"3,147.451",1,USD,105.8,CAD,80.590,14971.111,0.398,3.634
"¥866,684",2016/03/23,2016/04/13,1.31948,1.27663,1.34319,1.00%,"4,535.741",1,USD,105.8,CAD,80.590,10765.747,0.554,1.807
"¥882,348",2016/05/03,2016/05/04,1.24927,1.19456,1.27754,1.00%,"3,872.868",0,USD,105.8,CAD,80.590,11299.167,0.464,1.935
"¥873,524",2016/10/21,2016/12/12,1.3359,1.39608,1.3131,1.00%,"4,753.996",0,USD,105.8,CAD,80.590,13031.599,0.576,2.639
"¥864,789",2017/01/05,2017/01/31,1.02056,0.9962,1.038,1.00%,"6,152.936",0,USD,105.8,CAD,80.590,9677.304,0.753,1.397
"¥856,141",2017/04/27,2017/06/13,1.36872,1.45626,1.3204,1.00%,"2,198.554",0,USD,105.8,CAD,80.590,10646.126,0.272,1.812
"¥847,579",2017/08/04,2017/09/01,1.26386,1.30945,1.23833,1.00%,"4,119.538",0,USD,105.8,CAD,80.590,10473.732,0.514,1.786
"¥839,104",2017/10/25,2018/03/05,0.95375,0.97303,0.94314,1.00%,"9,813.391",0,USD,105.8,CAD,80.590,10448.067,1.237,1.817
"¥830,713",2018/03/22,2018/04/09,1.28666,1.34684,1.26933,1.00%,"5,948.002",0,USD,105.8,CAD,80.590,14469.164,0.758,3.473
"¥822,406",2018/12/21,2019/06/28,1.36143,1.3049,1.39061,1.00%,"3,497.193",1,USD,105.8,CAD,80.590,10536.542,0.450,1.937
"¥838,338",2013/02/26,2013/03/07,93.157,87.954,97.709,1.00%,"1,841.691",0,AUD,75.78,JPY,,8743.061,0.166,1.143
"¥829,955",2013/04/09,2013/06/05,103.996,93.518,105.586,1.00%,"5,219.840",1,AUD,75.78,JPY,,22217.725,0.477,6.590
"¥884,648",2013/08/07,2013/08/12,87.665,84.124,88.966,1.00%,"6,799.754",0,AUD,75.78,JPY,,13415.914,0.582,2.722
"¥875,802",2013/09/03,2014/08/21,90.772,97.131,87.087,1.00%,"2,376.666",1,AUD,75.78,JPY,,10664.577,0.206,1.726
"¥890,915",2014/10/14,2014/10/29,94.241,88.532,96.047,1.00%,"4,933.083",0,AUD,75.78,JPY,,14685.294,0.420,3.161
"¥882,006",2015/09/01,2015/12/22,85.352,79.86,89.471,1.00%,"2,141.310",0,AUD,75.78,JPY,,9702.061,0.184,1.333
"¥873,186",2016/01/27,2016/02/08,84.052,90.628,80.872,1.00%,"2,745.866",0,AUD,75.78,JPY,,11529.344,0.238,2.068
"¥864,454",2016/06/16,2016/06/23,76.009,80.334,73.606,1.00%,"3,597.394",1,AUD,75.78,JPY,,10718.794,0.315,1.800
"¥880,012",2016/07/13,2016/07/13,77.772,72.225,79.357,1.00%,"5,552.129",0,AUD,75.78,JPY,,15399.384,0.478,3.500
"¥871,212",2016/07/26,2016/11/15,78.869,72.469,82.588,1.00%,"2,342.598",0,AUD,75.78,JPY,,10596.274,0.204,1.721
"¥862,500",2016/11/23,2017/07/19,82.921,89.327,79.718,1.00%,"2,692.788",1,AUD,75.78,JPY,,11212.502,0.237,2.000
"¥879,750",2018/11/01,2018/12/06,80.345,78.493,81.991,1.00%,"5,344.776",0,AUD,75.78,JPY,,9127.809,0.460,1.125
"¥870,953",2019/05/06,2019/05/16,76.806,78.74,75.448,1.00%,"6,413.495",0,AUD,75.78,JPY,,9817.778,0.558,1.424
"¥862,243",2019/08/01,2019/08/26,73.464,80.051,70.79,1.00%,"3,224.544",0,AUD,75.78,JPY,,12407.724,0.283,2.463
"¥853,621",2013/01/18,2013/02/18,1.59368,1.54761,1.61096,1.00%,"4,669.125",1,GBP,138.48,USD,105.800,12802.828,0.757,2.666
"¥876,379",2013/03/12,2013/04/05,1.48311,1.53091,1.47332,1.00%,"8,461.037",1,GBP,138.48,USD,105.800,18971.501,1.337,4.883
"¥919,168",2013/09/13,2013/09/19,1.58677,1.61556,1.61556,1.00%,"3,017.642",1,GBP,138.48,USD,105.800,3676.674,0.455,-1.000
"¥928,360",2013/10/18,2013/11/01,1.61902,1.59023,1.63399,1.00%,"5,861.503",1,GBP,138.48,USD,105.800,11854.731,0.874,1.923
"¥946,214",2014/01/06,2014/02/14,1.63975,1.66912,1.62305,1.00%,"5,355.343",1,GBP,138.48,USD,105.800,11615.771,0.784,1.759
"¥962,855",2014/02/19,2014/04/28,1.66624,1.63342,1.68525,1.00%,"4,787.328",0,GBP,138.48,USD,105.800,11726.977,0.689,1.726
"¥953,227",2014/05/06,2014/05/15,1.69653,1.6735,1.71004,1.00%,"6,668.914",1,GBP,138.48,USD,105.800,11547.376,0.969,1.705
"¥969,476",2014/06/30,2014/07/29,1.71002,1.86672,1.69332,1.00%,"5,486.999",0,GBP,138.48,USD,105.800,34076.785,0.784,9.383
"¥959,781",2014/09/04,2014/10/02,1.64034,1.60174,1.6568,1.00%,"5,511.333",1,GBP,138.48,USD,105.800,13470.755,0.795,2.345